Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3FCmZ3ONp13Wn083Fl2K3H","It All Feels Right","Washed Out","Paracosm","1","2","245880","spotify:user:cstichh","2016-03-18T20:52:27Z"
"spotify:track:6U9QiNNOAG3f2S7LWSof1S","I Ni Sogoma","Dinosaur Feathers","Fantasy Memorial","1","1","271520","spotify:user:cstichh","2016-03-18T20:52:27Z"
"spotify:track:426HTzrCPHJ5R5D4rrmnlL","Shine Your Light","Gap Dream","Shine Your Light","1","1","221626","spotify:user:cstichh","2016-03-18T20:52:27Z"
"spotify:track:1KDkchovnDvBgb2U9uTFkJ","Dream Captain","Deerhunter","Monomania","1","5","181479","spotify:user:cstichh","2016-03-18T20:52:27Z"
"spotify:track:1S7rX5dnPYrlMCJ3DBvlJn","Waiting Around For Grace","Pond","Man It Feels Like Space Again","1","1","309524","spotify:user:cstichh","2016-03-18T20:52:27Z"
"spotify:track:2nCvjumOQIyQJSb7e43nYZ","What D'You Say?","The Go! Team","The Scene Between","1","1","253760","spotify:user:cstichh","2016-03-18T20:52:27Z"
"spotify:track:1OXmp31GdydbYYykpkJFtm","Turn It Around","The Men","Open Your Heart","1","1","235520","spotify:user:cstichh","2016-03-18T20:52:27Z"
"spotify:track:2R6UVm4atvH9jV9BNOeTr4","I Found A New Way","Twin Peaks","Wild Onion","1","1","165869","spotify:user:cstichh","2016-03-18T20:52:27Z"
"spotify:track:1sR0wmqoakEIxnA8ekyWoh","Eyes of the Muse","King Tuff","Eyes of the Muse","1","1","253000","spotify:user:cstichh","2016-03-18T20:52:27Z"
"spotify:track:3ZEoh44VYlRkarNanAS2z7","Nothin' No","David Vandervelde","The Moonstation House Band","1","1","259360","spotify:user:cstichh","2016-03-18T20:52:27Z"
"spotify:track:3zXJaF1gP2hCSHTNI0I7MM","Stand by Love","Donnie & Joe Emerson","Still Dreamin' Wild: The Lost Recordings 1979-81","1","9","169133","spotify:user:cstichh","2016-03-18T20:52:27Z"
"spotify:track:6XgAG9QdYU21Ngl9CaPJgc","Your New Cuckoo","The Cardigans","First Band On The Moon","1","1","235426","spotify:user:cstichh","2016-03-18T20:52:27Z"
"spotify:track:257xjCQOUQaSOwQWw9fTe1","Here Comes The Summer","The Fiery Furnaces","EP","1","2","209986","spotify:user:cstichh","2016-03-18T20:52:27Z"
"spotify:track:312fTffzY2yQVp9VHzlBTU","Caer","Buscabulla","Kitsuné: Buscabulla","1","1","189624","spotify:user:cstichh","2016-03-18T20:52:27Z"
"spotify:track:6SMU34Qu4G6DmPegKHGoIa","Bamboo","Hinds","Demo","1","1","228000","spotify:user:cstichh","2016-03-18T20:52:27Z"
